participant,trial,phase,age,gender,height,hip_height,knee_height,lowest_height_not_afforded,time,width,relative_height,scaled_height,action
1,1,outbound,19.0,m,32,40.0,23.0,30,2015-02-05 10:06:28.122470,6.0,2,1.0666666666666667,around
1,1,return,19.0,m,32,40.0,23.0,30,2015-02-05 10:06:28.122470,6.0,2,1.0666666666666667,around
1,2,outbound,19.0,m,16,40.0,23.0,30,2015-02-05 10:07:16.972915,10.5,-14,0.5333333333333333,over
1,2,return,19.0,m,16,40.0,23.0,30,2015-02-05 10:07:16.972915,10.5,-14,0.5333333333333333,over
1,3,outbound,19.0,m,24,40.0,23.0,30,2015-02-05 10:08:03.719966,7.5,-6,0.8,over
1,3,return,19.0,m,24,40.0,23.0,30,2015-02-05 10:08:03.719966,7.5,-6,0.8,over
1,4,outbound,19.0,m,32,40.0,23.0,30,2015-02-05 10:08:43.379160,12.0,2,1.0666666666666667,around
1,4,return,19.0,m,32,40.0,23.0,30,2015-02-05 10:08:43.379160,12.0,2,1.0666666666666667,around
1,5,outbound,19.0,m,20,40.0,23.0,30,2015-02-05 10:09:20.389982,7.5,-10,0.6666666666666666,over
1,5,return,19.0,m,20,40.0,23.0,30,2015-02-05 10:09:20.389982,7.5,-10,0.6666666666666666,over
1,6,outbound,19.0,m,16,40.0,23.0,30,2015-02-05 10:10:01.357863,6.0,-14,0.5333333333333333,over
1,6,return,19.0,m,16,40.0,23.0,30,2015-02-05 10:10:01.357863,6.0,-14,0.5333333333333333,over
1,7,outbound,19.0,m,20,40.0,23.0,30,2015-02-05 10:10:41.152136,9.0,-10,0.6666666666666666,over
1,7,return,19.0,m,20,40.0,23.0,30,2015-02-05 10:10:41.152136,9.0,-10,0.6666666666666666,over
1,8,outbound,19.0,m,32,40.0,23.0,30,2015-02-05 10:11:15.891952,12.0,2,1.0666666666666667,around
1,8,return,19.0,m,32,40.0,23.0,30,2015-02-05 10:11:15.891952,12.0,2,1.0666666666666667,around
1,9,outbound,19.0,m,20,40.0,23.0,30,2015-02-05 10:11:53.828136,4.5,-10,0.6666666666666666,over
1,9,return,19.0,m,20,40.0,23.0,30,2015-02-05 10:11:53.828136,4.5,-10,0.6666666666666666,over
1,10,outbound,19.0,m,20,40.0,23.0,30,2015-02-05 10:12:34.057157,12.0,-10,0.6666666666666666,over
1,10,return,19.0,m,20,40.0,23.0,30,2015-02-05 10:12:34.057157,12.0,-10,0.6666666666666666,over
1,11,outbound,19.0,m,16,40.0,23.0,30,2015-02-05 10:13:13.283763,9.0,-14,0.5333333333333333,over
1,11,return,19.0,m,16,40.0,23.0,30,2015-02-05 10:13:13.283763,9.0,-14,0.5333333333333333,over
1,12,outbound,19.0,m,16,40.0,23.0,30,2015-02-05 10:13:53.787162,9.0,-14,0.5333333333333333,over
1,12,return,19.0,m,16,40.0,23.0,30,2015-02-05 10:13:53.787162,9.0,-14,0.5333333333333333,over
1,13,outbound,19.0,m,20,40.0,23.0,30,2015-02-05 10:14:26.385596,12.0,-10,0.6666666666666666,over
1,13,return,19.0,m,20,40.0,23.0,30,2015-02-05 10:14:26.385596,12.0,-10,0.6666666666666666,over
1,14,outbound,19.0,m,24,40.0,23.0,30,2015-02-05 10:14:58.415669,9.0,-6,0.8,around
1,14,return,19.0,m,24,40.0,23.0,30,2015-02-05 10:14:58.415669,9.0,-6,0.8,around
1,15,outbound,19.0,m,28,40.0,23.0,30,2015-02-05 10:15:33.007312,7.5,-2,0.9333333333333333,around
1,15,return,19.0,m,28,40.0,23.0,30,2015-02-05 10:15:33.007312,7.5,-2,0.9333333333333333,around
1,16,outbound,19.0,m,24,40.0,23.0,30,2015-02-05 10:16:07.223353,12.0,-6,0.8,around
1,16,return,19.0,m,24,40.0,23.0,30,2015-02-05 10:16:07.223353,12.0,-6,0.8,around
