relative_height,width,p(around)
-14,4.5,0.21052631578947367
-14,6.0,0.13157894736842105
-14,7.5,0.10526315789473684
-14,9.0,0.13157894736842105
-14,10.5,0.13157894736842105
-14,12.0,0.10526315789473684
-10,4.5,0.34210526315789475
-10,6.0,0.2894736842105263
-10,7.5,0.10526315789473684
-10,9.0,0.10526315789473684
-10,10.5,0.10526315789473684
-10,12.0,0.10526315789473684
-6,4.5,0.7631578947368421
-6,6.0,0.7894736842105263
-6,7.5,0.631578947368421
-6,9.0,0.5263157894736842
-6,10.5,0.7105263157894737
-6,12.0,0.3684210526315789
-2,4.5,0.9210526315789473
-2,6.0,0.9210526315789473
-2,7.5,0.9473684210526315
-2,9.0,0.9210526315789473
-2,10.5,0.8157894736842105
-2,12.0,0.8157894736842105
2,6.0,1.0
2,9.0,1.0
2,12.0,1.0
