participant,trial,age,full_height,height,hip_height,knee_height,max_afforded_obstacle_height,outbound,return,time,width
1,1,30.0,0,32,0,0,28,over,around,2015-02-04 14:23:12.351863,9.0
1,2,30.0,0,16,0,0,28,over,over,2015-02-04 14:28:52.522831,4.5
1,3,30.0,0,28,0,0,28,around,around,2015-02-04 14:29:27.913085,7.5
1,4,30.0,0,24,0,0,28,over,over,2015-02-04 14:30:12.957067,10.5
1,5,30.0,0,12,0,0,28,over,over,2015-02-04 14:31:13.334501,12.0
1,6,30.0,0,16,0,0,28,over,over,2015-02-04 14:31:59.525113,10.5
1,7,30.0,0,20,0,0,28,over,over,2015-02-04 14:32:39.631445,4.5
1,8,30.0,0,24,0,0,28,over,around,2015-02-04 14:33:17.488752,7.5
1,9,30.0,0,20,0,0,28,over,over,2015-02-04 14:33:54.735130,9.0
1,10,30.0,0,16,0,0,28,over,over,2015-02-04 14:34:39.692514,9.0
1,11,30.0,0,32,0,0,28,around,around,2015-02-04 14:35:15.413422,10.5
1,12,30.0,0,16,0,0,28,over,over,2015-02-04 14:35:57.507116,12.0
1,13,30.0,0,32,0,0,28,around,around,2015-02-04 14:36:35.957723,7.5
1,14,30.0,0,32,0,0,28,around,around,2015-02-04 14:37:13.344568,4.5
1,15,30.0,0,12,0,0,28,over,over,2015-02-04 14:37:49.786801,6.0
1,16,30.0,0,12,0,0,28,over,over,2015-02-04 14:38:33.611194,9.0
1,17,30.0,0,12,0,0,28,over,over,2015-02-04 14:39:11.777357,4.5
1,18,30.0,0,24,0,0,28,over,around,2015-02-04 14:39:45.989000,4.5
1,19,30.0,0,16,0,0,28,over,over,2015-02-04 14:40:21.971467,6.0
1,20,30.0,0,20,0,0,28,over,over,2015-02-04 14:41:24.225193,6.0
1,21,30.0,0,12,0,0,28,over,over,2015-02-04 14:42:03.138481,10.5
1,22,30.0,0,20,0,0,28,over,over,2015-02-04 14:42:44.612478,12.0
1,23,30.0,0,20,0,0,28,over,over,2015-02-04 14:43:33.997993,10.5
1,24,30.0,0,28,0,0,28,around,around,2015-02-04 14:44:08.314679,9.0
1,25,30.0,0,24,0,0,28,over,over,2015-02-04 14:44:46.991781,12.0
