participant,trial,age,full_height,height,hip_height,knee_height,max_afforded_obstacle_height,outbound,return,time,width
1,1,32.0,0,12,0,0,30,over,over,2015-02-03 10:04:06.644244,12.0
1,2,32.0,0,24,0,0,30,over,over,2015-02-03 10:05:12.390461,4.5
1,3,32.0,0,24,0,0,30,over,over,2015-02-03 10:06:03.301088,6.0
1,4,32.0,0,28,0,0,30,over,over,2015-02-03 10:06:57.445503,10.5
1,5,32.0,0,20,0,0,30,over,over,2015-02-03 10:07:39.879742,6.0
1,6,32.0,0,12,0,0,30,over,over,2015-02-03 10:08:18.915620,9.0
1,7,32.0,0,20,0,0,30,over,over,2015-02-03 10:08:57.545054,10.5
1,8,32.0,0,28,0,0,30,over,over,2015-02-03 10:09:38.743966,4.5
1,9,32.0,0,28,0,0,30,over,over,2015-02-03 10:10:21.077511,7.5
1,10,32.0,0,16,0,0,30,over,over,2015-02-03 10:11:01.910215,10.5
1,11,32.0,0,16,0,0,30,over,over,2015-02-03 10:11:44.314705,4.5
1,12,32.0,0,28,0,0,30,over,over,2015-02-03 10:12:19.714917,9.0
1,13,32.0,0,32,0,0,30,around,around,2015-02-03 10:13:01.267600,7.5
1,14,32.0,0,16,0,0,30,over,over,2015-02-03 10:13:42.641695,9.0
1,15,32.0,0,32,0,0,30,around,around,2015-02-03 10:14:22.811722,6.0
1,16,32.0,0,24,0,0,30,over,over,2015-02-03 10:14:56.968204,12.0
1,17,32.0,0,20,0,0,30,over,over,2015-02-03 10:15:37.391326,4.5
1,18,32.0,0,20,0,0,30,over,over,2015-02-03 10:16:36.755074,9.0
1,19,32.0,0,16,0,0,30,over,over,2015-02-03 10:17:17.454562,6.0
1,20,32.0,0,32,0,0,30,around,around,2015-02-03 10:18:04.986691,9.0
1,21,32.0,0,24,0,0,30,over,over,2015-02-03 10:18:51.168775,10.5
1,22,32.0,0,28,0,0,30,over,over,2015-02-03 10:19:27.059382,6.0
1,23,32.0,0,16,0,0,30,over,over,2015-02-03 10:20:12.740956,7.5
1,24,32.0,0,12,0,0,30,over,over,2015-02-03 10:21:21.975777,10.5
1,25,32.0,0,24,0,0,30,over,around,2015-02-03 10:22:01.933554,7.5
