relative_height,width,p(around)
-14,4.5,0.21428571428571427
-14,6.0,0.10714285714285714
-14,7.5,0.07142857142857142
-14,9.0,0.10714285714285714
-14,10.5,0.10714285714285714
-14,12.0,0.07142857142857142
-10,4.5,0.32142857142857145
-10,6.0,0.2857142857142857
-10,7.5,0.07142857142857142
-10,9.0,0.07142857142857142
-10,10.5,0.07142857142857142
-10,12.0,0.07142857142857142
-6,4.5,0.8214285714285714
-6,6.0,0.8571428571428571
-6,7.5,0.6428571428571429
-6,9.0,0.5714285714285714
-6,10.5,0.75
-6,12.0,0.42857142857142855
-2,4.5,0.8928571428571429
-2,6.0,0.9642857142857143
-2,7.5,1.0
-2,9.0,0.9642857142857143
-2,10.5,0.8928571428571429
-2,12.0,0.8571428571428571
2,6.0,1.0
2,9.0,1.0
2,12.0,1.0
